source,en,zh-tw,zh-cn
輸入關鍵字或帖子連結,Enter keyword or post link,輸入關鍵字或帖子連結,输入关键字或帖子链接
輸入關鍵字或網址搜尋帖子,Enter keywords or URLs to search for posts,輸入關鍵字或網址搜尋帖子,输入关键字或网址搜索帖子
輸入頁碼,Enter page number,輸入頁碼,输入页码
返回,Return,返回,返回
返回签详情,Return to sign-in details,返回签详情,返回签到详情
這個集合還沒有內容,This collection is empty,這個集合還沒有內容,这个集合还没有内容
這個頁面在 iOS 主要是說明限制，不提供 Android 式的系統授權捷徑。,This page on iOS mainly explains limitations and does not provide Android-style system authorization shortcuts.,這個頁面在 iOS 主要是說明限制，不提供 Android 式的系統授權捷徑。,这个页面在 iOS 主要是说明限制，不提供 Android 式的系统授权捷径。
這個項目目前收藏在：{},This item is currently saved in: {},這個項目目前收藏在：{},这个项目目前收藏在：{}
這種類型的收藏目前不支援同步到百合會。,This favorite type cannot be synced to Yamibo yet.,這種類型的收藏目前不支援同步到百合會。,这种类型的收藏目前不支持同步到百合会。
這筆收藏缺少網站 favorite id，暫時無法同步刪除網站端資料。,"This favorite has no website favorite ID, so website-side deletion is not available yet.",這筆收藏缺少網站 favorite id，暫時無法同步刪除網站端資料。,这笔收藏缺少网站收藏ID，暂时无法同步删除网站端数据。
這裡會顯示最近一次收藏同步的狀態與進度。同步開始後，你也可以從這裡重新打開進度畫面。,"This shows the status and progress of the latest favorite sync. After sync starts, you can reopen the progress screen from here.",這裡會顯示最近一次收藏同步的狀態與進度。同步開始後，你也可以從這裡重新打開進度畫面。,这里会显示最近一次收藏同步的状态与进度。同步开始后，你也可以从这里重新打开进度页面。
通知作者,Notify author,通知作者,通知作者
通知欄可正常顯示背景同步進度與完成結果。,Notification bar can display background sync progress and completion results normally.,通知欄可正常顯示背景同步進度與完成結果。,通知栏可正常显示后台同步进度与完成结果。
通知權限,Notification permissions,通知權限,通知权限
通知與背景同步,Notifications & Background Sync,通知與背景同步,通知与后台同步
通知與背景同步設定,Notification and background sync settings,通知與背景同步設定,通知与后台同步设置
連結選項,Link options,連結選項,链接选项
選單,Menu,選單,菜单
選擇,Select,選擇,选择
選擇分數,Select score,選擇分數,选择分数
選擇評分理由,Select rating reason,選擇評分理由,选择评分理由
選擇頁面,Select page,選擇頁面,选择页面
選擇類別,Select category,選擇類別,选择类别
邀請,Invite,邀請,邀请
邀請閱讀,Invitation to read,邀請閱讀,邀请阅读
邊緣式,Edge style,邊緣式,边缘式
部分品牌會額外限制背景同步。若你已開通知與電池最佳化，但任務仍常被中止，請查看對應機型說明。,"Some brands impose additional restrictions on background sync. If you have enabled notifications and battery optimization but tasks are still frequently stopped, please check the instructions for your device model.",部分品牌會額外限制背景同步。若你已開通知與電池最佳化，但任務仍常被中止，請查看對應機型說明。,部分品牌会额外限制后台同步。若你已开启通知与电池优化，但任务仍经常被中止，请查看对应机型说明。
部分裝置會因電池最佳化提早中止背景網路。建議將本 App 加入忽略最佳化名單。,Some devices may terminate background network early due to battery optimization. It is recommended to add this app to the optimization exemption list.,部分裝置會因電池最佳化提早中止背景網路。建議將本 App 加入忽略最佳化名單。,部分设备会因电池优化提早中止后台网络。建议将本应用加入优化白名单。
重新同步,Resync,重新同步,重新同步
重新對齊網站收藏資料失敗：{},Failed to reconcile website favorites: {},重新對齊網站收藏資料失敗：{},重新对齐网站收藏数据失败：{}
重新整理,Refresh,重新整理,重新整理
重新整理帖子失敗：{},Failed to refresh thread: {},重新整理帖子失敗：{},重新整理帖子失败：{}
重新整理標籤頁失敗：{},Failed to refresh tag page: {},重新整理標籤頁失敗：{},重新整理标签页失败：{}
重新檢查,Recheck,重新檢查,重新检查
重新載入,Reload,重新載入,重新加载
重試,Retry,重試,重试
錯誤,Error,錯誤,错误
長條圖,Bar chart,長條圖,柱状图
開啟後，刪除收藏時不再跳出確認視窗。,"When enabled, no confirmation dialog will pop up when deleting favorites.",開啟後，刪除收藏時不再跳出確認視窗。,开启后，删除收藏时不再弹出确认窗口。
開啟後，收藏將完全消失時會詢問是否同步從百合會移除。,"When enabled, you will be asked whether to sync removal to Yamibo when a favorite is fully removed.",開啟後，收藏將完全消失時會詢問是否同步從百合會移除。,开启后，收藏将被完全移除时会询问是否同步从百合会移除。
開啟後，新建收藏時會詢問是否同步到百合會。,"When enabled, you will be asked whether to sync to Yamibo when creating a new favorite.",開啟後，新建收藏時會詢問是否同步到百合會。,开启后，新建收藏时会询问是否同步到百合会。
開啟替代頁,Open alternative page,開啟替代頁,开启替代页
開始全域刷新收藏更新,Start global refresh of favorite updates,開始全域刷新收藏更新,开始全局刷新收藏更新
開始刷新,Start refreshing,開始刷新,开始刷新
開始同步,Starting sync,開始同步,开始同步
開始閱讀,Start reading,開始閱讀,开始阅读
閱畢,Finished reading,閱畢,阅毕
閱讀圖表,Reading charts,閱讀圖表,阅读图表
閱讀時數,Reading hours,閱讀時數,阅读时长
閱讀標記,Read mark,閱讀標記,阅读标记
閱讀模式,Reading mode,閱讀模式,阅读模式
閱讀模式與觸控區域設定,Reading mode and touch zone settings,閱讀模式與觸控區域設定,阅读模式与触控区域设置
閱讀歷史,Reading History,閱讀歷史,阅读历史
閱讀統計,Reading statistics,閱讀統計,阅读统计
關於,About,關於,关于
關於 ({}),About ({}),關於 ({}),关于 ({})
關閉,Close,關閉,关闭
關閉這個畫面不會中止同步，你之後仍可從收藏頁或設定頁重新查看進度。,Closing this screen will not stop sync. You can check progress again later from the Favorites or Settings page.,關閉這個畫面不會中止同步，你之後仍可從收藏頁或設定頁重新查看進度。,关闭这个页面不会中止同步，你之后仍可从收藏页或设置页重新查看进度。
附件選項,Attachment options,附件選項,附件选项
隨便看看,Browse random blogs,隨便看看,随便看看
隱藏,Hide,隱藏,隐藏
集合,Collection,集合,集合
離開前台時同步,Sync when leaving foreground,離開前台時同步,离开前台时同步
電池最佳化,Battery Optimization,電池最佳化,电池优化
需要允許此 app 安裝未知來源應用，完成授權後請重新點擊下載。,"Allow this app to install apps from unknown sources, then tap download again after granting permission.",需要允許此 app 安裝未知來源應用，完成授權後請重新點擊下載。,需要允许此应用安装未知来源应用，完成授权后请重新点击下载。
頁數,Page count,頁數,页数
頁數 {}/{} 頁,Page {}/{},頁數 {}/{} 頁,页数 {}/{} 页
頁數 正在取得收藏頁,Fetching favorite pages,頁數 正在取得收藏頁,页数：正在获取收藏页
預覽,Preview,預覽,预览
預設,Default,預設,预设
預設（深色）,Default (dark),預設（深色）,默认（深色）
顏色,Color,顏色,颜色
顏色主題,Color theme,顏色主題,颜色主题
類別名稱,Category name,類別名稱,类别名称
顯示收藏更新檢查進度與結果,Show favorite update check progress and results,顯示收藏更新檢查進度與結果,显示收藏更新检查进度与结果
顯示百合會收藏同步進度,Show Yamibo favorite sync progress,顯示百合會收藏同步進度,显示百合会收藏同步进度
顯示首頁輪播圖,Show home carousel,顯示首頁輪播圖,显示首页轮播图
首頁,Home,首頁,首页
首頁輪播圖,Home carousel,首頁輪播圖,首页轮播图
默認,Default,默認,默认
點擊展開 / 收起,Tap to expand/collapse,點擊展開 / 收起,点击展开 / 收起
點擊跳轉到評論區,Tap to jump to comments,點擊跳轉到評論區,点击跳转到评论区
點評,Comment,點評,点评
點評失敗: {},Comment failed: {},點評失敗: {},点评失败: {}
點評成功，刷新後更新評分/點評狀態,Review successful. Refresh to update rating/review status.,點評成功，刷新後更新評分/點評狀態,点评成功，刷新后更新评分/点评状态
（無標題）,(untitled),（無標題）,（无标题）
🌟 本帖評分 (共 {} 人),🌟 Post ratings ({} people),🌟 本帖評分 (共 {} 人),🌟 本帖评分（共 {} 人）
"💡 tips : 標籤頁面類似常規漫畫App, 推薦用於收藏漫畫","💡 Tip: Tag pages are similar to standard comic apps, recommended for saving comics","💡 tips : 標籤頁面類似常規漫畫App, 推薦用於收藏漫畫","💡 tips : 标签页面类似常规漫画App, 推荐用于收藏漫画"
💬 點評,💬 Comment,💬 點評,💬 点评
📎 附件,📎 Attachment,📎 附件,📎 附件
備份檔案將上傳至網盤的 yamibo 資料夾，並可跨裝置恢復。,Backup files are uploaded to the yamibo folder on your cloud drive and can be restored across devices.,備份檔案將上傳至網盤的 yamibo 資料夾，並可跨裝置恢復。,备份文件将上传至网盘的 yamibo 文件夹，并可跨设备恢复。
已登入網盤：{},Signed in to cloud drive: {},已登入網盤：{},已登录网盘：{}
已登出網盤,Signed out of cloud drive,已登出網盤,已登出网盘
帳戶已存在，請改用登入,"Account already exists, please log in instead",帳戶已存在，請改用登入,账户已存在，请改用登录
帳戶：{},Account: {},帳戶：{},账户：{}
帳號,Username,帳號,账号
改用登入,Log in instead,改用登入,改用登录
改用註冊,Register instead,改用註冊,改用注册
登入網盤帳戶,Sign in to cloud drive,登入網盤帳戶,登录网盘账户
登入網盤帳戶，將備份上傳至 yamibo 資料夾,Sign in to your cloud drive to upload backups to the yamibo folder,登入網盤帳戶，將備份上傳至 yamibo 資料夾,登录网盘账户，将备份上传至 yamibo 文件夹
網盤備份檔案,Cloud drive backup files,網盤備份檔案,网盘备份文件
網盤操作失敗,Cloud drive operation failed,網盤操作失敗,网盘操作失败
網盤雲端備份,Cloud drive backup,網盤雲端備份,网盘云端备份
註冊,Register,註冊,注册
請輸入帳號與密碼,Please enter username and password,請輸入帳號與密碼,请输入账号与密码
還原,Restore,還原,还原
點擊檔案可還原,Tap a file to restore,點擊檔案可還原,点击文件可还原
備份到網盤,Back up to cloud drive,備份到網盤,备份到网盘
備份檔案將上傳至網盤的 yamibo 資料夾,Backup files are uploaded to the yamibo folder on your cloud drive,備份檔案將上傳至網盤的 yamibo 資料夾,备份文件将上传至网盘的 yamibo 文件夹
開啟後，定期備份只上傳網盤，不再另外存到本機,When enabled, periodic backups are uploaded to the cloud drive only and are not saved locally,開啟後，定期備份只上傳網盤，不再另外存到本機,开启后，定期备份只上传网盘，不再另外存到本机
本地與網盤定期備份共用此上限,Local and cloud drive periodic backups share this limit,本地與網盤定期備份共用此上限,本地与网盘定期备份共用此上限
網盤未登入，無法建立定期備份,Cloud drive is not signed in; periodic backup was not created,網盤未登入，無法建立定期備份,网盘未登录，无法建立定期备份
本地備份檔案,Local backup files,本地備份檔案,本地备份文件
沒有帳戶？,No account?,沒有帳戶？,没有账户？
網盤備份失敗：{},Cloud drive backup failed: {},網盤備份失敗：{},网盘备份失败：{}
網盤：{},Cloud drive: {},網盤：{},网盘：{}
網盤：未登入,Cloud drive: not signed in,網盤：未登入,网盘：未登录
切換後端會重新同步；論壇 Blog 與網盤資料不互通,Switching backend re-syncs; forum Blog and cloud drive data are not shared,切換後端會重新同步；論壇 Blog 與網盤資料不互通,切换后端会重新同步；论坛 Blog 与网盘数据不互通
同步後端,Sync backend,同步後端,同步后端
網盤,Cloud drive,網盤,网盘
論壇 Blog,Forum Blog,論壇 Blog,论坛 Blog
登入已失效，請重新登入,"Login expired, please sign in again",登入已失效，請重新登入,登录已失效，请重新登录
登入網盤,Sign in to cloud drive,登入網盤,登录网盘
網盤同步會使用此帳戶的 yamibo 資料夾,Cloud sync uses this account's yamibo folder,網盤同步會使用此帳戶的 yamibo 資料夾,网盘同步会使用此账户的 yamibo 文件夹
網盤帳戶,Cloud drive account,網盤帳戶,网盘账户
同步失敗：{},Sync failed: {},同步失敗：{},同步失败：{}
網盤：登入中...,Cloud drive: signing in...,網盤：登入中...,网盘：登录中...
正在导出TXT...,Exporting TXT...,正在导出TXT...,正在导出TXT...
正在读取第 {} 页 / 共 {} 页,Reading page {} of {},正在读取第 {} 页 / 共 {} 页,正在读取第 {} 页 / 共 {} 页
已导出TXT文件：{},Exported TXT file: {},已导出TXT文件：{},已导出TXT文件：{}
导出TXT失败：{},Export TXT failed: {},导出TXT失败：{},导出TXT失败：{}
